Pos,Name,Platform,Publisher,Genre,Week,Total,time,date,ESRB,date
27, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,33971,2771586,13,2009-02-13,E,39857 
28, Super Smash Bros. Brawl , Wii , Nintendo , Fighting ,32956,8177244,55,2009-02-13,T,39857 
29, The House of the Dead: Overkill , Wii , Sega , Shooter ,32827,32827,1,2009-02-13,M,39857 
30, LEGO Indiana Jones: The Original Adventures , X360 , Activision , Adventure ,32249,2989260,37,2009-02-13,E10+,39857 
1, Street Fighter IV , PS3 , Capcom , Fighting ,462763,546154,2,2009-02-20,T,39864 
2, Street Fighter IV , X360 , Capcom , Fighting ,427017,464191,2,2009-02-20,T,39864 
3, Wii Sports , Wii , Nintendo , Sports ,355056,41676251,118,2009-02-20,E,39864 
4, Wii Fit , Wii , Nintendo , Sports ,319700,16028653,65,2009-02-20,E,39864 
5, Wii Play , Wii , Nintendo , Misc ,171449,22018682,117,2009-02-20,E,39864 
6, Star Ocean: The Last Hope , X360 , Square Enix , Role-Playing ,164870,164870,1,2009-02-20,T,39864 
7, The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon , PSP , Namco Bandai Games , Adventure ,121983,121983,1,2009-02-20,T,39864 
8, Mario Kart Wii , Wii , Nintendo , Racing ,108546,14287223,46,2009-02-20,E,39864 
9, New Super Mario Bros. , DS , Nintendo , Platform ,72417,18443254,145,2009-02-20,E,39864 
10, Mario Kart DS , DS , Nintendo , Racing ,70424,13548281,171,2009-02-20,E,39864 
11, Warhammer 40000: Dawn of War II , PC , THQ , Strategy ,69962,69962,1,2009-02-20,M,39864 
12, Professor Layton and the Curious Village , DS , Nintendo , Adventure ,60430,2211700,106,2009-02-20,E,39864 
13, Call of Duty: World at War , X360 , Activision , Shooter ,58917,4888634,15,2009-02-20,M,39864 
14, Mario & Luigi: Bowser's Inside Story , DS , Nintendo , Role-Playing ,58867,271478,2,2009-02-20,E,39864 
15, Guitar Hero: World Tour , Wii , Activision , Misc ,56456,2567275,17,2009-02-20,T,39864 
16, F.E.A.R. 2: Project Origin , X360 , CyberFront , Shooter ,48622,159344,2,2009-02-20,M,39864 
17, My Fitness Coach , Wii , Ubisoft , Sports ,45895,443876,12,2009-02-20,E,39864 
18, Left 4 Dead , X360 , Electronic Arts , Shooter ,45084,1905335,14,2009-02-20,M,39864 
19, The House of the Dead: Overkill , Wii , Sega , Shooter ,44634,77461,2,2009-02-20,M,39864 
20, Fire Emblem: Shadow Dragon , DS , Nintendo , Strategy ,44559,316594,29,2009-02-20,E10+,39864 
21, Brain Age: Train Your Brain in Minutes a Day , DS , Nintendo , Misc ,44355,16946286,197,2009-02-20,E,39864 
22, Skate 2 , X360 , Electronic Arts , Sports ,44057,423113,5,2009-02-20,T,39864 
23, Call of Duty: World at War , PS3 , Activision , Shooter ,42147,3008914,15,2009-02-20,M,39864 
24, Nintendogs , DS , Nintendo , Simulation ,40676,21984654,201,2009-02-20,E,39864 
25, LEGO Star Wars: The Complete Saga , Wii , LucasArts , Action ,40245,2217171,68,2009-02-20,E10+,39864 
26, Animal Crossing: City Folk , Wii , Nintendo , Simulation ,39931,2811517,14,2009-02-20,E,39864 
27, Brain Age 2: More Training in Minutes a Day , DS , Nintendo , Misc ,36380,13359038,165,2009-02-20,E,39864 
28, Race Pro , X360 , Atari , Racing ,35226,35226,1,2009-02-20,E,39864 
29, F.E.A.R. 2: Project Origin , PS3 , CyberFront , Shooter ,34781,107847,2,2009-02-20,M,39864 
30, Sonic's Ultimate Genesis Collection , PS3 , Sega , Misc ,34286,55274,2,2009-02-20,E10+,39864 
1, Killzone 2 , PS3 , Sony Computer Entertainment , Shooter ,729840,729840,1,2009-02-27,M,39871 
2, Yakuza 3 , PS3 , Sega , Adventure ,355392,355392,1,2009-02-27,M,39871 
3, Wii Sports , Wii , Nintendo , Sports ,291588,41967839,119,2009-02-27,E,39871 
4, Wii Fit , Wii , Nintendo , Sports ,290727,16319380,66,2009-02-27,E,39871 
5, Dynasty Warriors: Strikeforce , PSP , Tecmo Koei , Action ,223136,223136,1,2009-02-27,T,39871 
6, Street Fighter IV , PS3 , Capcom , Fighting ,215578,761732,3,2009-02-27,T,39871 
7, Street Fighter IV , X360 , Capcom , Fighting ,183205,647396,3,2009-02-27,T,39871 
8, Mario Kart Wii , Wii , Nintendo , Racing ,150917,14438140,47,2009-02-27,E,39871 
